name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Memorial Union,13,28822637,,yes,community_centre,,,"POLYGON ((-111.9339164 33.4172212, -111.9343573 33.4172183, -111.9343571 33.4171959, -111.9347878 33.4171932, -111.9347911 33.4175488, -111.93472 33.4175493, -111.9347205 33.4176023, -111.9347976 33.4176018, -111.9347998 33.4178462, -111.9346573 33.4178471, -111.9346589 33.4180242, -111.9348 33.4180234, -111.9348017 33.4182102, -111.9346523 33.4182111, -111.934652 33.4181729, -111.9344471 33.4181742, -111.9344475 33.4182145, -111.9342171 33.4182161, -111.9342165 33.4181549, -111.9339175 33.4181569, -111.9339162 33.4180223, -111.9340051 33.4180217, -111.9340012 33.4176077, -111.9339201 33.4176082, -111.9339164 33.4172212))","POINT (-111.93436797907562 33.41768560131141)",,
Hayden Library Concourse,14,28822657,,yes,library,,,"POLYGON ((-111.9351386 33.4189775, -111.9352894 33.4189785, -111.935433 33.4189794, -111.9354336 33.4188132, -111.9355885 33.418816, -111.9355873 33.4192513, -111.9348762 33.419254, -111.9348757 33.4188554, -111.9351391 33.4188565, -111.9351398 33.4189615, -111.9351068 33.4189624, -111.9350261 33.4189403, -111.9350298 33.4190546, -111.9351383 33.419055, -111.9351386 33.4189775))","POINT (-111.93523752656594 33.41907113394303)",,
Danforth Chapel,15,28822660,,chapel,,,,"POLYGON ((-111.9353807 33.4185599, -111.9353806 33.4185548, -111.9353985 33.4185509, -111.9354078 33.4185422, -111.9354119 33.4185292, -111.9354055 33.4185161, -111.9353949 33.418505, -111.9353802 33.4185015, -111.9353799 33.4184606, -111.9352624 33.4184601, -111.9352624 33.4185604, -111.9353807 33.4185599))","POINT (-111.9353280579027 33.41851206161814)",,
West Hall,16,28822716,,university,,,,"POLYGON ((-111.9359951 33.4193909, -111.9359975 33.4194105, -111.9356517 33.4194073, -111.9356507 33.4193549, -111.9357897 33.4193531, -111.9357891 33.4191798, -111.935748 33.4191797, -111.9357475 33.4191035, -111.9357471 33.4190423, -111.9357917 33.4190417, -111.9357881 33.4188692, -111.9356894 33.4188688, -111.9356901 33.4188117, -111.9360706 33.4188113, -111.9360697 33.4188832, -111.9359901 33.4188834, -111.935987 33.4189019, -111.9359115 33.418902, -111.9359106 33.4190438, -111.9359783 33.4190423, -111.9359819 33.4191736, -111.9359106 33.4191728, -111.9359124 33.4193159, -111.9359945 33.4193138, -111.9359951 33.4193909))","POINT (-111.93586156088608 33.419103498421414)",,
Matthews Hall,17,28822867,,yes,,,,"POLYGON ((-111.9358648 33.4200648, -111.9360193 33.4200648, -111.9360193 33.4200218, -111.9362211 33.4200221, -111.9362276 33.4200591, -111.9363992 33.4200727, -111.936403 33.4201663, -111.9362318 33.4201789, -111.9362238 33.420223, -111.9360193 33.4202224, -111.9360193 33.420165, -111.9358648 33.420165, -111.9358648 33.4200648))","POINT (-111.93613208844484 33.42012025902213)",,
Center for Family Studies,18,28822952,,university,,,,"POLYGON ((-111.9361172 33.4208705, -111.9363345 33.4208698, -111.9363345 33.4208775, -111.9363979 33.4208774, -111.9363986 33.4210438, -111.9364539 33.4210437, -111.9364544 33.421174, -111.9363591 33.4211743, -111.9363592 33.4211844, -111.9362212 33.4211848, -111.936221 33.4211248, -111.936354 33.4211244, -111.9363535 33.4210182, -111.9361178 33.4210189, -111.9361172 33.4208705))","POINT (-111.93629310330154 33.42100698058581)",,
Parking Lot 27,19,28866684,,,parking,,,"POLYGON ((-111.9315059 33.4182167, -111.9314961 33.4175636, -111.9314061 33.4175636, -111.931404 33.4175296, -111.9312919 33.417531, -111.9313016 33.41822, -111.9315059 33.4182167))","POINT (-111.9313975397198 33.41788171449325)",,
Psychology North,20,28866724,,university,,,,"POLYGON ((-111.9299238 33.4207779, -111.9299221 33.4205179, -111.9299222 33.4205039, -111.9299058 33.4205041, -111.9292045 33.4205068, -111.9292059 33.4207683, -111.9292061 33.4207809, -111.9297378 33.4207787, -111.9299238 33.4207779))","POINT (-111.9295640259 33.420642423435474)",,
Durham Hall,21,28930749,,university,,,,"POLYGON ((-111.934696 33.4214437, -111.9346937 33.4209632, -111.9347737 33.420963, -111.9347729 33.4208127, -111.934687 33.420813, -111.9346851 33.420421, -111.9345153 33.4204216, -111.9345154 33.4204513, -111.934479 33.4204514, -111.9344808 33.4208139, -111.9343082 33.4208145, -111.934309 33.4209698, -111.9344731 33.4209692, -111.9344775 33.4214171, -111.9345156 33.4214173, -111.9345157 33.4214443, -111.934696 33.4214437))","POINT (-111.93457242910881 33.42093280307821)",,
Engineering Center D-Wing,22,29216548,,university,,,,"POLYGON ((-111.9317744 33.4194323, -111.9325554 33.4194323, -111.9326414 33.4194323, -111.9326406 33.4192289, -111.932563 33.4192257, -111.9317858 33.4192416, -111.9317744 33.4194323))","POINT (-111.93221644446088 33.419332874140935)",,
